,date,Population Staying at Home,Population Not Staying at Home,Week,Month,business_id,avg_star,review_count,user_id,review_id,stars,text,name_x,postal_code_x,attributes,categories,sentiment,chicken,beef,tofu,miso,hot pot,mapo tofu,highly recommend,ly recommend,not recommend,good service,nice service,service is good,bad service,name_y,postal_code_y,block,sentiment_score,sentiment_score_vader,price_sentiment
0,2019-01-01,510911.0,1073153.0,0,1,MMRRS6YhVRx_iN5-JhMRYg,4.0,783,Xp37UnlQCLljPwDB2u0kbw,Gtn7xLJSPbHjo0HLUT23Ow,1.0,"Paid 40 bucks for bathroom issues. 

I had heard really great things about this place and really wanted to try it for New Year's Eve. Got take out with my boyfriend. I found the price pretty expensive for two entrees with no rice or really any veggies but thought if it was great food it would be worth it. Got dry pot style and the eleven style. Fast forward to this morning and both my boyfriend and I are very very sick on our stomachs and having a lot of issues.",Han Dynasty,19104,"{'BikeParking': 'True', 'Caters': 'True', 'HappyHour': 'True', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'Alcohol': ""u'full_bar'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'None', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Chinese, Szechuan",0.12646595828414006,0,0,0,0,0,0,0,0,0,0,0,0,0,Han Dynasty,19104,West,0.12646595828414006,0.7453,0.12646595828414006
5,2019-01-01,510911.0,1073153.0,0,1,iksVwRfpWymIUUFqw0tXpw,4.5,1128,aLXnLxLvuxjxyGlJ8c2i5A,qjRROaX9YjMfeUkCBxGnXg,5.0,"Great food, tried the tomatoe base, spicy base, and pork miso. Need try all 3 bases to get the full experience.  A5 wagyu was on point. Pork tenderloin and lamb were great with sauces even though they were lean cuts.  Cuts were thin, which is good.  Seafood platter was good to sample various types of seafood. Kiki was a great, attentive waitress!  Got water refills, fallen chopsticks replaced (at least 6 in our group of 3), and bowls replaced when needed. Price was on the higher end, but you get high quality raw ingredients. Would come again.",Chubby Cattle,19107,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'""}","Restaurants, Bars, Seafood, Japanese, Hot Pot, Nightlife, Chinese, Conveyor Belt Sushi, Mongolian, Asian Fusion",0.16861538461538464,0,0,0,1,0,0,0,0,0,0,0,0,0,Chubby Cattle,19107,Center,0.16861538461538464,0.7777,0.16861538461538464
7,2019-01-01,510911.0,1073153.0,0,1,VP8HMhVt-pKmqGNmDW4-TQ,4.0,414,bfJpL3-nDiqgfmZgUpjPiQ,oagPx4RU8hkzMwc9xD3w2w,4.0,"A pretty good dim sum place, especially when Chinatown is so crowded it looks and feels like you're actually in China. 

The location is a little farther out of the way from all the other dim sum places and when the line is out the door for all the other ones we decided to try this one. And it was a good choice!

The prices are pretty good here and we got a decent amount of food to both be satisfied. We got the soup dumplings, stuffed eggplant, turnip cake, shrimp rice rolls, crystal shrimp dumplings, and scallion pancakes. They were all great and for the two of us, we were stuffed. 

Definitely coming back, less people with similar food quality.",Nom Wah Philadelphia,19107,"{'RestaurantsReservations': 'True', 'DogsAllowed': 'False', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'BikeParking': 'True', 'NoiseLevel': ""'average'"", 'GoodForDancing': 'False', 'Smoking': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'HasTV': 'True', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'RestaurantsTableService': 'True', 'CoatCheck': 'True', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'None', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Desserts, Bars, Food, Coffee & Tea, Nightlife, Dim Sum, Restaurants, Cocktail Bars, Cantonese, Chinese",0.2019736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,Nom Wah Philadelphia,19107,Center,0.2019736842105263,0.9774,0.2019736842105263
11,2019-01-01,510911.0,1073153.0,0,1,ntiIq1FNqduOyyowMFGh5A,4.0,2188,IDVFG1pNSHIHoVuoLuZpcQ,qBWoHbA71dItFPPgQZ2ZMg,5.0,"I really didn't think much coming here. I kept seeing it on food lists and was like fine.. if the noodles are freshly made I'll go try it. And I'm so glad I did. Walked through Chinatown to get here. The food here is great! We ordered the knife cut and hand pulled noodles. The knife cut noodles are the winner here. The texture was just perfect. The broth lots of body and flavor. Very generous with the meats and the price is very fair. I would recommend coming here to all noodle lovers. The brisket meat was fire in my house noodle bowl too.

Recommedation: House noodle soup with knife cut noodles",Nan Zhou Hand Drawn Noodle House,19107,"{'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'Caters': 'False', 'Corkage': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BYOBCorkage': ""'yes_free'"", 'BusinessAcceptsCreditCards': 'False', 'Alcohol': ""'none'"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'ByAppointmentOnly': 'False', 'HappyHour': 'False', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True'}","Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",0.5251851851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,Nan Zhou Hand Drawn Noodle House,19107,Center,0.5251851851851852,0.9801,0.5251851851851852
16,2019-01-02,403677.0,1180387.0,0,1,iksVwRfpWymIUUFqw0tXpw,4.5,1128,gSIew_4a7e_NPp1lTT92_g,MCmiuyzatVXLLtHvf_GsyQ,5.0,"THIS IS THE BEST HOTPOT I'VE HAD. The menu / conveyor belt were kinda confusing, but our server suggested we just order off the menu since we'd get more in the portion. I'm not sure what the point of having the conveyor belt is lol...

We arrived Sunday at noon (my only complaint is that I wish it opened earlier) and it was relatively empty. We ordered two individual pots: the original broth and the tomato ox tail broth. BOTH WERE EXTREMELY FLAVORFUL. I couldn't decide which one I liked better. We also ordered a noodle combo, a beef combo, and a veggie combo...and enoki mushrooms (as the veggie combo only comes with greens). Everything was displayed super aesthetically beautiful. My boyfriend eats for two and it was enough food for both of us (3 stomachs lol), with only some greens leftover. It was a bit pricey ($80 after tax and tip) but I think it was well worth it. I can't really tell the difference between wagyu beef and regular beef, both the broth was so flavorful I really didn't need to dip it in any sauce. The restaurant also provided their house sauce, which was something I'd never had (soy sauce with orange maybe?). I think they said that they hand pull their own noodles or create them with different roots (e.g., taro, green tea?). Another table got a seafood combo and it looked so beautiful. 

The servers were all super friendly and sweet. I thought it took a while for the food to come out, but they take such care and time to display it so beautifully so I guess that makes sense. Would definitely recommend giving it a try.",Chubby Cattle,19107,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'""}","Restaurants, Bars, Seafood, Japanese, Hot Pot, Nightlife, Chinese, Conveyor Belt Sushi, Mongolian, Asian Fusion",0.2512254901960784,0,1,0,0,0,0,0,1,0,0,0,0,0,Chubby Cattle,19107,Center,0.2512254901960784,0.9975,0.2512254901960784
19,2019-01-02,403677.0,1180387.0,0,1,ntiIq1FNqduOyyowMFGh5A,4.0,2188,Yz7EoYHVPVMTfMmRCrX2HA,7pvQP8hfa7NU2Uskn8C7tQ,5.0,"Just went here over the holiday break. The place was absolutely packed, but we were able to grab the last table in the house. We got an order of the pork dumplings (fried) and the chicken stir fried noodles. Everything was outrageously good. The flavor of the pork was incredible, the dumplings were amply sized and perfectly fried, and you get 8 to an order, so the value is fantastic. Our noodles in our stir fry were so fresh, you could see them stretch as you pulled them out of the pile. Service was quick, and those coming in after us only had to wait a short amount of time - seems turnover is relatively quick as well. We will be back!",Nan Zhou Hand Drawn Noodle House,19107,"{'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'Caters': 'False', 'Corkage': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BYOBCorkage': ""'yes_free'"", 'BusinessAcceptsCreditCards': 'False', 'Alcohol': ""'none'"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'ByAppointmentOnly': 'False', 'HappyHour': 'False', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True'}","Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",0.29047619047619044,1,0,0,0,0,0,0,0,0,0,0,0,0,Nan Zhou Hand Drawn Noodle House,19107,Center,0.29047619047619044,0.9754,0.29047619047619044
21,2019-01-02,403677.0,1180387.0,0,1,-1B9pP_CrRBJYPICE5WbRA,4.0,822,PwVkblvU4Whnj6guwwe9Dg,OrzHCrHIgh-whzzXzjrX7g,4.0,A family owned restaurant in downtown Philadelphia. Great prices and a very nice clean and welcoming environment with a great view of street life.  We loved it.  Try the curry soup with shrimp and noodles. That broth!,Spice 28,19107,"{'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'HappyHour': 'True', 'GoodForKids': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Asian Fusion, Restaurants, American (New), Thai, Szechuan, Chinese",0.7243333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,Spice 28,19107,Center,0.7243333333333334,0.9697,0.7243333333333334
38,2019-01-03,408930.0,1175134.0,0,1,AGlh4ZDv6jnoiYfz7At9mw,4.0,2672,WMK-2Su_q2GoxhchmotOsw,SLZDQtoWI_Jeuqa2kWuZKw,4.0,"DSG is a no frills, cash only, reasonably priced restaurant with excellent food. The first time I went here was with a large group and luckily we were seated immediately. Walking past the kitchen to the back dining area it was fascinating to watch dumplings being made at the window. 

I've tried the pork soup dumplings and the crabmeat & pork soup dumplings and will go for the crabmeat in the future. The scallion pancakes are delicious and very fresh.  I love combining the dumpling sauce with the chili oil to dip my food in.  I've also had the diced chicken with chili pepper and it might have been the best we've had. I have a high tolerance to spice but I didnt think it was too hot.

The service here is questionable as orders were forgotten on both occasions I was here. I blame this on the fact that it's a cash only business with no computer system so there's bound to be issues. However, they were quick to bring the missed items out and the delicious food made up for it so I will definitely be back!",Dim Sum Garden,19107,"{'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'HasTV': 'False', 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'BYOB': 'False', 'HappyHour': 'False', 'OutdoorSeating': 'True', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'Corkage': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'NoiseLevel': ""u'average'""}","Chinese, Restaurants, Dim Sum, Asian Fusion, Shanghainese",0.2718614718614718,1,0,0,0,0,0,0,0,0,0,0,0,0,Dim Sum Garden,19107,Center,0.2718614718614718,0.8871,0.2718614718614718
42,2019-01-03,408930.0,1175134.0,0,1,iksVwRfpWymIUUFqw0tXpw,4.5,1128,HEvsj6vUhDQfnbqASrXgvA,o6exJ0HNm0QFomPEsPRvfw,5.0,"This place was a walk-in after finding out that the restaurant our group wanted to go to originally was closed.

Let me just say... it was PHENOMENAL!! There were vegan options, add-ins were plentiful and definitely worth the price, the broths were all DELICIOUS. 

Our table had the ""Beautiful Tomato"", ""Tomato Oxtail"", and ""House Hellish"" Entry Level broths. All were absolutely to die for. 

Definitely worth stopping in! Will be coming back. The tomato oxtail is a MUST.",Chubby Cattle,19107,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'""}","Restaurants, Bars, Seafood, Japanese, Hot Pot, Nightlife, Chinese, Conveyor Belt Sushi, Mongolian, Asian Fusion",0.42013888888888895,0,0,0,0,0,0,0,0,0,0,0,0,0,Chubby Cattle,19107,Center,0.42013888888888895,0.8142,0.42013888888888895
51,2019-01-03,408930.0,1175134.0,0,1,O7l6SYxKM5Skl7i-JsRJ1g,4.0,138,qqfvzK3hvj3hY3Zp4fgjPg,BNFQjAvmZquQxSt-EamX5A,5.0,"If you are looking for the best hot pot with reasonable price, this is the BEST place in town. They offer a all-you-can-eat hotpot lunch for only 16.99, which is a great bargain for the quality of food. 
Meanwhile, I also regularly order takeout from their kitchen. They offer a great selection of Chinese foods at relatively reasonable prices. Most of my orders are ready for pick up after 20 minutes, which is ideal for a quick bite for lunch.",LaTao HotPot,19104,"{'RestaurantsReservations': 'True', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'HappyHour': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'OutdoorSeating': 'None', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'Ambience': ""{u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': True, u'upscale': None}""}","Szechuan, Chinese, Restaurants, Hot Pot",0.4416666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,LaTao HotPot,19104,West,0.4416666666666667,0.9777,0.4416666666666667
